unpack   false_infeasible_cnn  false_feasible_cnn  false_infeasible_mlp  false_feasible_mlp
0               0.00000             0.73457                   0.0             0.77654
1               0.00000             0.20339                   0.0             0.80178
2               0.00051             0.00153                   0.0             0.00514
3               0.00133             0.00000                   0.0             0.00886
4               0.00000             0.00000                   0.0             0.01459
5               0.00060             0.00000                   0.0             0.00059
6               0.00000             0.00000                   0.0             0.01557
7               0.00073             0.00000                   0.0             0.00431
8               0.00781             0.00000                   0.0             0.00000

random   false_infeasible_cnn  false_feasible_cnn  false_infeasible_mlp  false_feasible_mlp
0               0.01014             0.22591               0.00540             0.21137
1               0.01151             0.13795               0.00637             0.09111
2               0.01323             0.11287               0.00685             0.05907
3               0.01426             0.07971               0.00734             0.04835
4               0.01512             0.02628               0.00791             0.02809
5               0.01546             0.02594               0.00801             0.02587
6               0.01563             0.02250               0.00849             0.02297
7               0.01615             0.01735               0.00869             0.02114
8               0.01752             0.01632               0.00898             0.01766

cnn   true_feasible  true_infeasible  false_feasible  false_infeasible
0       0.229367         0.704607        0.065765          0.000260
1       0.229107         0.719050        0.051322          0.000521
2       0.228385         0.727244        0.043129          0.001242
3       0.227624         0.733433        0.036939          0.002003
4       0.226723         0.738802        0.031571          0.002905
5       0.225240         0.742849        0.027524          0.004387
6       0.221675         0.746695        0.023678          0.007953
7       0.216707         0.750481        0.019892          0.012921
8       0.206130         0.755329        0.015044          0.023498


   true_feasible  true_infeasible  false_feasible  false_infeasible
0       0.226045         0.724052        0.049743          0.000160
1       0.225707         0.729460        0.044336          0.000498
2       0.225458         0.732404        0.041392          0.000747
3       0.225191         0.734814        0.038981          0.001014
4       0.224657         0.736415        0.037381          0.001548
5       0.223830         0.738220        0.035575          0.002375
6       0.223154         0.739616        0.034179          0.003051
7       0.221678         0.741795        0.032000          0.004527
8       0.218360         0.744286        0.029510          0.007844
